GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BloodWave,org.example.bloodwave.application.dto.request,DonneurDTO,3,0,0,0,1,0,1,0,1,0
BloodWave,org.example.bloodwave.application.dto.request,HopitalDTO,3,0,0,0,1,0,1,0,1,0
BloodWave,org.example.bloodwave.application.dto.request,StockSangDTO,3,0,0,0,1,0,1,0,1,0
BloodWave,org.example.bloodwave.infrastructure.filter,JwtFilter,3,0,0,0,1,0,1,0,1,0
BloodWave,org.example.bloodwave.application.service.impl,RefreshTokenServiceImpl,56,0,2,0,13,0,5,0,4,0
BloodWave,org.example.bloodwave.application.service.impl,TokenGeneratorServiceImpl,7,3,0,0,2,1,2,1,2,1
BloodWave,org.example.bloodwave.application.service.impl,AuthServiceImpl,101,18,2,0,23,7,7,1,6,1
BloodWave,org.example.bloodwave.application.service.impl,DemandeurServiceImpl,25,0,0,0,5,0,1,0,1,0
BloodWave,org.example.bloodwave.application.service.impl,CollectSangServiceImpl,241,0,2,0,47,0,16,0,15,0
BloodWave,org.example.bloodwave.application.service.impl,DonneurServiceImpl,69,0,0,0,13,0,5,0,5,0
BloodWave,org.example.bloodwave.application.service.impl,EmailServiceImpl,36,0,0,0,11,0,2,0,2,0
BloodWave,org.example.bloodwave.application.service.impl,UtilisateurServiceImpl,196,12,2,0,33,5,15,1,14,1
BloodWave,org.example.bloodwave.application.service.impl,DonServiceImpl,180,0,0,0,31,0,11,0,11,0
BloodWave,org.example.bloodwave.application.service.impl,CustomUserDetailsService,24,0,0,0,6,0,1,0,1,0
BloodWave,org.example.bloodwave.application.service.impl,HopitalServiceImpl,25,3,0,0,5,1,1,1,1,1
BloodWave,org.example.bloodwave.application.mapper,UtilisateurMapper,58,3,12,0,16,1,8,1,2,1
BloodWave,org.example.bloodwave.application.mapper,HopitalMapper,0,3,0,0,0,1,0,1,0,1
BloodWave,org.example.bloodwave.application.mapper,UtilisateurMapperImpl,142,3,16,0,37,1,10,1,2,1
BloodWave,org.example.bloodwave.application.mapper,HopitalMapperImpl,100,3,4,0,28,1,4,1,2,1
BloodWave,org.example.bloodwave.application.mapper,DemandeurMapperImpl,88,3,4,0,25,1,4,1,2,1
BloodWave,org.example.bloodwave.application.mapper,DonMapperImpl,60,3,4,0,18,1,4,1,2,1
BloodWave,org.example.bloodwave.application.mapper,DonMapper,0,3,0,0,0,1,0,1,0,1
BloodWave,org.example.bloodwave.application.mapper,DonneurMapper,0,3,0,0,0,1,0,1,0,1
BloodWave,org.example.bloodwave.application.mapper,AdminMapper,0,3,0,0,0,1,0,1,0,1
BloodWave,org.example.bloodwave.application.mapper,DonneurMapperImpl,104,3,4,0,29,1,4,1,2,1
BloodWave,org.example.bloodwave.application.mapper,DemandeurMapper,0,3,0,0,0,1,0,1,0,1
BloodWave,org.example.bloodwave.application.mapper,AdminMapperImpl,56,3,4,0,17,1,4,1,2,1
BloodWave,org.example.bloodwave.application.mapper,CollecteSangMapperImpl,71,3,6,0,21,1,5,1,2,1
BloodWave,org.example.bloodwave.application.mapper,CollecteSangMapper,0,3,0,0,0,1,0,1,0,1
BloodWave,org.example.bloodwave.application.dto.response,AdminDtoResponse,3,0,0,0,1,0,1,0,1,0
BloodWave,org.example.bloodwave.application.dto.response,DonneurDtoResponse,3,0,0,0,1,0,1,0,1,0
BloodWave,org.example.bloodwave.application.dto.response,MouvementStockDtoResponse,3,0,0,0,1,0,1,0,1,0
BloodWave,org.example.bloodwave.application.dto.response,HopitalDtoResponse,3,0,0,0,1,0,1,0,1,0
BloodWave,org.example.bloodwave.application.dto.response,DemandeurDtoResponse,3,0,0,0,1,0,1,0,1,0
BloodWave,org.example.bloodwave.application.exceptions,UserNotFoundException,4,0,0,0,2,0,1,0,1,0
BloodWave,org.example.bloodwave.application.exceptions,PasswordResetExpiredException,4,0,0,0,2,0,1,0,1,0
BloodWave,org.example.bloodwave.application.exceptions,DonNotFoundException,4,0,0,0,2,0,1,0,1,0
BloodWave,org.example.bloodwave.application.exceptions,HopitalNotFoundException,4,0,0,0,2,0,1,0,1,0
BloodWave,org.example.bloodwave.application.exceptions,PasswordNotMatchException,4,0,0,0,2,0,1,0,1,0
BloodWave,org.example.bloodwave.application.exceptions,DonneurNotFoundException,4,0,0,0,2,0,1,0,1,0
BloodWave,org.example.bloodwave.application.exceptions,CollecteNotFoundException,4,0,0,0,2,0,1,0,1,0
BloodWave,org.example.bloodwave.application.exceptions,PasswordResetTokenNotFoundException,4,0,0,0,2,0,1,0,1,0
BloodWave,org.example.bloodwave,BloodWaveApplication,5,3,0,0,2,1,1,1,1,1
BloodWave,org.example.bloodwave.infrastructure.config,JwtUtil,80,3,0,0,21,1,5,1,5,1
BloodWave,org.example.bloodwave.infrastructure.config,SecurityConfig,0,75,0,0,0,16,0,7,0,7
BloodWave,org.example.bloodwave.infrastructure.config.filters,JwtAuthenticationFilter,121,0,28,0,31,0,15,0,1,0
BloodWave,org.example.bloodwave.domain.enumeration,RoleType,0,27,0,0,0,2,0,1,0,1
BloodWave,org.example.bloodwave.domain.enumeration,StatutDon,0,21,0,0,0,2,0,1,0,1
BloodWave,org.example.bloodwave.domain.enumeration,NiveauUrgence,0,27,0,0,0,2,0,1,0,1
BloodWave,org.example.bloodwave.domain.enumeration,TypeMouvement,0,15,0,0,0,2,0,1,0,1
BloodWave,org.example.bloodwave.domain.enumeration,StatutDemande,0,21,0,0,0,2,0,1,0,1
BloodWave,org.example.bloodwave.domain.enumeration,StatutCollecte,0,21,0,0,0,2,0,1,0,1
BloodWave,org.example.bloodwave.domain.enumeration,StatutUnite,0,21,0,0,0,2,0,1,0,1
BloodWave,org.example.bloodwave.domain.enumeration,GroupeSanguin,0,51,0,0,0,2,0,1,0,1
BloodWave,org.example.bloodwave.api.controller,UtilisateurController,74,6,0,0,19,3,9,1,9,1
BloodWave,org.example.bloodwave.api.controller,AdminController,3,0,0,0,1,0,1,0,1,0
BloodWave,org.example.bloodwave.api.controller,CollectSangController,39,0,0,0,10,0,5,0,5,0
BloodWave,org.example.bloodwave.api.controller,DonneurController,53,0,0,0,11,0,5,0,5,0
BloodWave,org.example.bloodwave.api.controller,AuthController,78,24,0,0,15,9,6,1,6,1
BloodWave,org.example.bloodwave.api.controller,ProfileController,28,6,0,0,6,3,3,1,3,1
BloodWave,org.example.bloodwave.api.controller,DonController,70,6,0,0,17,3,8,1,8,1
BloodWave,org.example.bloodwave.domain.entity,PasswordResetToken,0,3,0,0,0,2,0,1,0,1
